question_id,scenario,option_a,option_b,option_c,option_d,correct_option
b20de830-104e-4131-8af8-e5aba5b4b210,A junior developer created a webpage but the images are not showing up. The HTML code shows: <img src='images/logo.jpg' alt='Logo'>. The image file is in a folder called 'assets/images/'.,The alt attribute is incorrect,PNG format should be used instead of JPG,The src path is incorrect — should be 'assets/images/logo.jpg',The img tag needs a closing tag,C
c8bb06ff-a6b7-4d12-adff-03896adad6aa,"A startup is building a web app and expects traffic to spike unpredictably during product launches. They have minimal DevOps expertise and want to focus on code, not server management.",IaaS — they manage everything for full control,"PaaS — platform handles infrastructure, they focus on code",SaaS — use pre-built software products,On-premise servers — most cost-effective long-term,B
67f9a6ab-f4de-4435-90bf-c2560a6857b1,"An employee receives an email claiming to be from their company's IT department, asking them to click a link and reset their password urgently. The email address looks slightly different from the official domain.",DDoS Attack,Ransomware,Phishing,SQL Injection,C
f0106892-ed2e-4362-9b5d-077d07c4118f,A data scientist builds a spam classifier. It achieves 99% accuracy on training data but only 60% on test data. The training dataset has 95% non-spam emails.,Underfitting — add more features,Class imbalance causing overfitting — use techniques like SMOTE or adjust class weights,The dataset is too large — reduce training data,The algorithm is wrong — switch to linear regression,B
a9643040-792f-4dc9-8ad7-c4987ca7ea7b,"An AI assistant is playing chess and evaluates each possible move by estimating the game outcome value. It chooses the move that maximizes its minimum possible gain, assuming the opponent plays optimally.",Greedy Search,Minimax Algorithm,BFS,Q-Learning,B
6df52b9b-22c8-449b-a9c1-d3c3df4bdf8b,"An analyst has a dataset with 10,000 sales records. The 'revenue' column has 500 missing values. The missing data appears to be random across all product categories.",Delete all rows with missing values,Replace with zero,Impute with the median revenue value,Replace with the maximum revenue,C
ce26a5c2-121e-4a2d-901b-1b549c71c7c1,A DevOps team deploys a new version of their app and discovers a critical bug causing service failures. They need to roll back to the previous stable version within 5 minutes.,Rebuild from source code and redeploy,Blue-Green deployment with an instant traffic switch,Manual server reconfiguration,Rollback only after full incident report,B
773c9ba1-c7cf-4430-aece-fb49e9592ce3,An engineer models the temperature T (in °C) inside a reactor using T(t) = 50e^(0.2t) where t is in hours. The engineer needs to find the rate of temperature increase at t = 3 hours.,Integrating T(t) from 0 to 3,Finding T(3) directly,Differentiating T(t) and evaluating at t=3,Finding the average of T(0) and T(3),C
c67e5a63-2d33-44e6-84af-01833be7407e,"An electrician connects three resistors — 2Ω, 4Ω, and 6Ω — in series to a 24V battery. He needs to find the total current flowing through the circuit.",2A,4A,6A,12A,A
9a6d8a19-2f33-4f65-ad18-602c79607da4,A chemistry student needs to prepare 2 moles of water (H₂O) from hydrogen and oxygen gases. The balanced equation is: 2H₂ + O₂ → 2H₂O.,1 mole,2 moles,3 moles,4 moles,B
b77491a4-0fd2-445e-9a02-17ea8c178801,"A project manager must present unfavorable quarterly results to company executives. The data shows a 20% revenue drop. She needs to communicate clearly, maintain credibility, and propose a recovery plan.",Share only positive aspects and avoid mentioning the revenue drop,"Present facts objectively, explain root causes, and propose a concrete action plan",Blame the sales team for poor performance,Send a written report without attending the meeting,B
14ecbb06-301e-4859-a81e-0cc0a79a2539,A merchant buys goods at a 20% discount on marked price and sells at 10% above marked price. A finance student needs to calculate the overall profit percentage.,25%,30%,37.5%,32%,C
41ad7e3a-c19d-4c76-a27e-f67e7e6dd510,"A student writes code to store a student's name, age, and GPA. She uses three separate variables: name = 'Alice', age = 20, gpa = 3.8.","int, string, float","string, int, float","string, float, int","float, int, string",B
8ed9024c-70e8-4606-a1cf-9c3e47f96302,"A developer builds a payment system with classes CreditCardPayment and UPIPayment, both extending an abstract Payment class. The process() method works differently in each. The checkout module calls payment.process() without knowing the specific type.",Encapsulation,Inheritance only,Polymorphism,Composition,C
25ff8529-c405-4efc-9ca3-9a8d935aa152,"A programmer writes a function: fib(n) = fib(n-1) + fib(n-2), with base cases fib(0)=0 and fib(1)=1. For n=40, the function is extremely slow.",Use a faster CPU,Use memoization to cache previously computed results,Use bubble sort on the results,Reduce the input value,B
51392811-134a-46a3-8378-2b06c90bd293,"A database has a 'Student' table with columns: student_id, name, department_id, department_name. Every student in the same department has the same department_name, causing redundancy.",1NF — remove multi-valued attributes,2NF — remove partial dependencies,3NF — remove transitive dependencies,BCNF — ensure all determinants are superkeys,C
a2468f8f-856b-4354-9a48-a4837796ad70,"In an OS, Process A holds Resource 1 and waits for Resource 2. Process B holds Resource 2 and waits for Resource 1. Neither can proceed.",Mutual Exclusion only,Hold and Wait only,Circular Wait,No Preemption only,C
ce0ed757-61aa-4ef0-b3d6-e63bab73f400,A developer is building a live video streaming application that prioritizes low latency over perfect packet delivery. Occasional dropped frames are acceptable.,TCP — guarantees reliable delivery,UDP — low overhead with no retransmission,HTTP — standard web protocol,FTP — optimized for media transfer,B
6dbb1cbf-0e37-4ce2-a677-cc64eb772772,A software product has just been released to production. Users report that a new feature breaks an existing feature that was previously working correctly.,Unit Testing,Regression Testing,Load Testing,Alpha Testing,B
c2a92f9c-04f7-491b-b1f2-2347c7329d85,A web developer notices that a REST API endpoint returning a large dataset is causing slow page loads. Users are waiting 5+ seconds for data to appear.,Double the server RAM,Implement pagination and lazy loading of data,Convert the API from REST to SOAP,Remove all images from the page,B
765d8fe9-a353-46a5-a25b-6c5be9a6d3a3,A hospital stores sensitive patient data and must comply with strict regulatory requirements. They also need burst computing capacity during peak hours and want to use cloud resources occasionally.,Public Cloud — cost-effective and scalable,Private Cloud only — maximum security,"Hybrid Cloud — private for sensitive data, public for burst capacity",Community Cloud — shared with other hospitals,C
525a8932-f5b4-485c-94da-21846e2b0980,"A company discovers that an attacker injected malicious SQL code into a login form, bypassing authentication and accessing the entire customer database.",Using stronger passwords for the database,Encrypting the database with AES-256,Using parameterized queries or prepared statements,Adding a CAPTCHA to the login form,C
236466c4-45a4-4f29-b329-e59ff42bc14a,An e-commerce company wants to predict whether a customer will churn (stop buying) in the next 30 days. They have labeled historical data with churn=yes/no.,Regression — predicting a continuous value,Binary Classification — predicting one of two outcomes,Clustering — grouping similar customers,Dimensionality Reduction — simplifying features,B
878ea909-f61d-4f2c-b57e-701dcb57ebf2,"A robot vacuum cleaner is placed in a new room. It explores randomly at first, bumping into walls. Over time, it learns the best path to clean efficiently without re-visiting areas.",Supervised Learning,K-Means Clustering,Reinforcement Learning,Rule-Based Expert System,C
90c8af97-675e-4f99-b2bb-98463d5fb36c,"An analyst needs to find patterns in sales data to understand which product categories drive the most revenue, how sales change month by month, and how regions compare.",Prescriptive Analytics,Predictive Analytics,Descriptive Analytics,Diagnostic Analytics,C
50c62e1e-4bab-4896-b71a-454794e8468a,A development team has the same code working on a developer's laptop ('works on my machine') but failing in production due to different OS versions and library versions.,Jenkins for CI/CD,Docker for containerization,Ansible for configuration management,Prometheus for monitoring,B
033e4624-27d4-4e2b-b45d-102b0b8d9bd3,"A student earns ₹1,500 per hour tutoring. If she works 8 hours a week for 4 weeks, how much does she earn?",E = 1500 + 8 × 4,E = 1500 × 8 + 4,E = 1500 × (8 × 4),E = (1500 + 8) × 4,C
10c08f38-1261-497d-abe2-908716cb8129,A student must find the number of electrons in a neutral Oxygen atom (atomic number=8).,6,8,10,16,B
c95e0599-3142-44e6-9e1a-486d0964a611,"A developer writes a function that searches an employee by ID from a list of 10,000 records. Currently using linear search, the function takes 2 seconds in the worst case.",Use a more powerful CPU,Sort the list and implement binary search,Add the result to a display faster,"Reduce the list to 5,000 records",B
ef0857a3-0e94-488e-ab64-b3534d54d1a5,A web browser implements the 'Back' and 'Forward' navigation buttons. The browser needs to track the user's history of visited pages.,"Two queues — one for back, one for forward","Two stacks — one for back history, one for forward history",One linked list,One hash map,B
b6dcf984-2ccf-4c1a-8b96-1a9b1b1b4c86,A frontend developer notices that a webpage layout breaks on mobile devices with screens smaller than 768px. The desktop layout looks fine.,JavaScript window.resize event handler,CSS Media Queries to apply different styles at different screen widths,Fixed pixel widths for all elements,A separate mobile HTML file,B
230ad1a5-04cd-4ec5-9dcc-52022b36b1c4,"A DevOps engineer needs to ensure that the production server configuration matches the expected state, and any manual changes made directly on the server are automatically reverted.",Manual auditing using SSH scripts,Configuration drift prevention using Ansible or Puppet (desired state management),Container orchestration with Kubernetes,Log monitoring with ELK Stack,B
