subject,type,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,irt_a,irt_b,irt_c
Artificial Intelligence,mcq,Which improves training performance?,Normalization,Adding noise,Delaying training,Early stopping only,A,easy,1.1,-0.9,0.2
Artificial Intelligence,situational,Need optimal path with heuristic?,DFS,BFS,A* Search,Greedy Search,C,medium,1.4,0.5,0.1
Artificial Intelligence,situational,Large labeled dataset available?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,A,easy,1.1,-0.8,0.2
Artificial Intelligence,situational,Unknown number of clusters?,KNN,K-Means,SVM,Logistic Regression,B,medium,1.3,0.3,0.1
Artificial Intelligence,situational,Sequential decision making task?,Supervised Learning,Reinforcement Learning,Clustering,Regression,B,medium,1.4,0.6,0.1
Artificial Intelligence,situational,Avoid overfitting in model?,Add more data and regularize,Memorize training data,Stop training early,Ignore validation loss,B,medium,1.5,0.7,0.1
Artificial Intelligence,situational,Processing natural language text?,NLP,DBMS,OS,Cloud Computing,A,easy,1.1,-0.9,0.2
Artificial Intelligence,situational,Reduce high-dimensional features?,KNN,PCA,SVM,Decision Tree,B,medium,1.3,0.5,0.1
Artificial Intelligence,situational,Need probabilistic classification?,Naive Bayes,KNN,SVM,Decision Tree,A,medium,1.4,0.5,0.1
Artificial Intelligence,situational,Model needs continuous output?,Classification,Regression,Clustering,Reinforcement Learning,B,medium,1.3,0.4,0.1
Artificial Intelligence,situational,High variance model indicates?,Overfitting,Underfitting,Optimal fit,Balanced model,A,medium,1.4,0.6,0.1
Chemistry,mcq,Atomic number represents?,Number of protons,Number of neutrons,Number of electrons,Atomic mass,A,easy,1.0,-1.2,0.2
Chemistry,mcq,pH of a neutral solution?,0,7,14,1,B,easy,1.0,-1.1,0.2
Chemistry,mcq,What is Avogadro's number?,6.022e23,1.0e23,9.0e23,3.0e23,A,medium,1.3,0.4,0.1
Chemistry,mcq,Bond formed by electron sharing?,Ionic,Covalent,Metallic,Hydrogen,B,easy,1.1,-1.0,0.2
Chemistry,mcq,Example of a strong acid?,HCl,NaOH,CH4,H2,A,easy,1.1,-1.0,0.2
Chemistry,mcq,Oxidation is?,Gain of electrons,Loss of electrons,Gain of protons,Loss of protons,B,medium,1.3,0.4,0.1
Chemistry,mcq,Ideal gas law?,PV=nRT,E=mc2,F=ma,V=IR,A,easy,1.1,-1.0,0.2
Chemistry,mcq,Periodic table arranged by?,Atomic mass,Atomic number,Density,Volume,B,easy,1.1,-1.0,0.2
Chemistry,mcq,What does a catalyst do?,Increases reaction rate,Decreases reaction rate,Stops the reaction,Reverses the reaction,A,easy,1.1,-0.9,0.2
Chemistry,mcq,Exothermic reaction releases?,Heat,Light,Gas,Sound,A,easy,1.1,-1.0,0.2
Chemistry,mcq,pH < 7 means solution is?,Acidic,Basic,Neutral,Salty,A,easy,1.0,-1.1,0.2
Chemistry,mcq,Electrolysis uses which energy?,Electricity,Heat,Light,Pressure,A,medium,1.3,0.4,0.1
Chemistry,mcq,Mole concept unit?,mol,kg,g,L,A,easy,1.0,-1.0,0.2
Chemistry,mcq,Water (H2O) is?,Compound,Element,Mixture,Pure atom,A,easy,1.0,-1.0,0.2
Chemistry,mcq,Reaction rate depends on?,Temperature,Pressure,Catalyst,All of these,D,medium,1.3,0.5,0.1
Chemistry,mcq,Entropy measures?,Order,Disorder,Energy,Mass,B,medium,1.4,0.6,0.1
Chemistry,mcq,Endothermic reaction absorbs?,Heat,Cold,Light,Gas,A,easy,1.1,-1.0,0.2
Chemistry,mcq,Redox reaction involves?,Electron transfer,Heat transfer,Light transfer,Mass transfer,A,medium,1.4,0.5,0.1
Chemistry,mcq,Organic chemistry studies?,Carbon compounds,Metals,Inert gases,Ionic solids,A,easy,1.0,-1.0,0.2
Chemistry,mcq,Gas pressure unit?,atm,mol,kg,L,A,easy,1.0,-1.0,0.2
Chemistry,situational,Need faster reaction rate?,Add catalyst,Remove heat,Add impurity,Stop reaction,A,medium,1.3,0.4,0.1
Chemistry,situational,Identify acidic solution?,pH 2,pH 7,pH 10,pH 14,A,easy,1.0,-1.1,0.2
Chemistry,situational,Neutralization reaction?,Acid + Base,Acid + Acid,Base + Base,Salt + Water,A,easy,1.1,-1.0,0.2
Chemistry,situational,Increase pressure effect on gas reaction?,Rate increases,Rate decreases,No change,Reaction stops,A,medium,1.3,0.4,0.1
Chemistry,situational,Electron loss is called?,Reduction,Oxidation,Neutralization,Combustion,B,medium,1.4,0.5,0.1
Chemistry,situational,Which is the ideal gas law?,PV=nRT,F=ma,E=mc2,V=IR,A,easy,1.1,-1.0,0.2
Chemistry,situational,Example of exothermic reaction?,Combustion,Melting,Boiling,Dissolving salt,A,medium,1.3,0.4,0.1
Chemistry,situational,Identify the strong acid?,HCl,NaOH,CH4,H2,A,easy,1.1,-1.0,0.2
Chemistry,situational,Disorder increases means?,Entropy increases,Entropy decreases,Entropy stays same,Reaction reverses,A,medium,1.4,0.6,0.1
Chemistry,situational,When does a reaction stop?,At equilibrium,At start,When catalyst added,When pressure removed,A,medium,1.3,0.5,0.1
Cloud Computing,mcq,What is IaaS?,Infrastructure as a Service,Internet as a Service,Integration as a Service,Interface as a Service,A,easy,1.0,-1.2,0.2
Cloud Computing,mcq,Which service provides runtime environment?,IaaS,PaaS,SaaS,DaaS,B,medium,1.3,0.4,0.1
Cloud Computing,mcq,Which model gives full control over OS?,SaaS,PaaS,IaaS,FaaS,C,medium,1.3,0.5,0.1
Cloud Computing,mcq,Which is an example of SaaS?,AWS EC2,Google Docs,Docker,Kubernetes,B,easy,1.1,-1.0,0.2
Cloud Computing,mcq,Auto-scaling primarily helps with?,Cost reduction,Security,Latency increase,Manual scaling,A,medium,1.3,0.3,0.1
Cloud Computing,mcq,Which ensures high availability?,Replication,Deletion,Compression,Encryption,A,medium,1.4,0.4,0.1
Cloud Computing,mcq,Which storage is object-based?,Amazon S3,EBS,Block storage,File system,A,medium,1.3,0.5,0.1
Cloud Computing,mcq,Virtualization enables?,Multiple OS on one machine,Single OS only,No OS,Hardware removal,A,easy,1.1,-1.0,0.2
Cloud Computing,mcq,Which is serverless computing?,Lambda,EC2,S3,VPC,A,medium,1.4,0.6,0.1
Cloud Computing,mcq,Private cloud deployment is for?,Internal organizational use,Public use,Hybrid use,Community use,A,easy,1.1,-1.0,0.2
Cloud Computing,mcq,Which ensures fault tolerance?,Load balancing,Data deletion,System crash,Network delay,A,medium,1.4,0.4,0.1
Cloud Computing,mcq,Which reduces latency globally?,CDN,VPN,Proxy,Firewall,A,medium,1.3,0.3,0.1
Cloud Computing,mcq,Which is container orchestration?,Docker,Kubernetes,VMware,EC2,B,medium,1.5,0.7,0.1
Cloud Computing,mcq,Which storage type is block-based?,EBS,S3,Blob,Object store,A,medium,1.3,0.4,0.1
Cloud Computing,mcq,Which is hybrid cloud?,Mix of public and private,Only public,Only private,Community only,A,medium,1.2,0.3,0.1
Cloud Computing,mcq,Which improves application performance?,Caching,Deletion,Network delay,Shutdown,A,easy,1.1,-1.0,0.2
Cloud Computing,mcq,Which secures a cloud network?,Firewall,Cache,Load balancer,CDN,A,medium,1.4,0.5,0.1
Cloud Computing,mcq,Which AWS service monitors resources?,CloudWatch,S3,EC2,Route53,A,medium,1.3,0.4,0.1
Cloud Computing,mcq,Which AWS service manages DNS?,Route53,S3,EC2,Lambda,A,medium,1.3,0.4,0.1
Cloud Computing,mcq,Which ensures cloud elasticity?,Auto-scaling,Manual scaling,Static provisioning,Fixed capacity,A,medium,1.3,0.5,0.1
Cloud Computing,situational,Traffic spikes suddenly?,Auto-scale,Shutdown,Ignore,Delay response,A,medium,1.4,0.5,0.1
Cloud Computing,situational,Global content delivery needed?,CDN,Firewall,VPN,Proxy,A,medium,1.3,0.3,0.1
Cloud Computing,situational,Need full infrastructure control?,SaaS,PaaS,IaaS,FaaS,C,medium,1.3,0.5,0.1
Cloud Computing,situational,Run serverless function?,Lambda,EC2,S3,VPC,A,medium,1.4,0.6,0.1
Cloud Computing,situational,Monitor application logs?,CloudWatch,S3,EC2,Route53,A,medium,1.3,0.4,0.1
Cloud Computing,situational,Secure cloud network?,Firewall,Cache,CDN,VPN,A,medium,1.4,0.5,0.1
Cloud Computing,situational,Ensure high availability?,Replication,Deletion,Compression,Encryption,A,medium,1.4,0.4,0.1
Cloud Computing,situational,Reduce global latency?,CDN,Network delay,Stop service,Proxy server,A,medium,1.3,0.3,0.1
Cloud Computing,situational,Manage containers at scale?,Docker,Kubernetes,VMware,Ansible,B,medium,1.5,0.7,0.1
Cloud Computing,situational,Use private cloud?,Internal organization,Public users,Hybrid users,Community users,A,easy,1.1,-1.0,0.2
Cyber Security,mcq,What is phishing?,Email-based social engineering,Firewall bypass,Data encryption,Password hashing,A,easy,1.0,-1.1,0.2
Cyber Security,mcq,Which ensures confidentiality?,Encryption,Hashing,Firewall,Proxy,A,easy,1.1,-1.0,0.2
Cyber Security,mcq,Which ensures data integrity?,Hashing,Encryption,Firewall,VPN,A,medium,1.3,0.4,0.1
Cyber Security,mcq,Which attack overloads a server?,DDoS,Phishing,SQL Injection,XSS,A,medium,1.3,0.4,0.1
Cyber Security,mcq,SQL injection targets?,Database,Network,Operating System,Cloud,A,medium,1.4,0.5,0.1
Cyber Security,mcq,Which is authentication?,User login verification,Encryption,Hashing,Firewall,A,easy,1.1,-1.0,0.2
Cyber Security,mcq,Which cryptographic method uses keys?,Encryption,Hashing,Firewall,Proxy,A,easy,1.1,-1.0,0.2
Cyber Security,mcq,How should passwords be stored?,Hashed,Encrypted,Plain text,Deleted,A,medium,1.4,0.6,0.1
Cyber Security,mcq,Which is malware?,Virus,Firewall,VPN,Proxy,A,easy,1.1,-1.0,0.2
Cyber Security,mcq,Which attack injects malicious scripts?,XSS,SQL Injection,DDoS,Phishing,A,medium,1.4,0.5,0.1
Cyber Security,mcq,Which protects a network perimeter?,Firewall,Proxy,Cache,CDN,A,easy,1.1,-1.0,0.2
Cyber Security,mcq,Which ensures service availability?,Backup and recovery,Encryption,Hashing,Firewall,A,medium,1.3,0.4,0.1
Cyber Security,mcq,Which attack involves brute force?,Password guessing,DDoS,XSS,Phishing,A,medium,1.3,0.4,0.1
Cyber Security,mcq,VPN primarily provides?,Secure encrypted tunnel,Extra storage,Increased speed,Caching,A,medium,1.3,0.4,0.1
Cyber Security,mcq,Which is a symmetric algorithm?,AES,RSA,DSA,ECC,A,medium,1.3,0.4,0.1
Cyber Security,mcq,Which is an asymmetric algorithm?,RSA,AES,DES,Blowfish,A,medium,1.3,0.4,0.1
Cyber Security,mcq,Which attack intercepts communication?,MITM,DDoS,XSS,SQL Injection,A,medium,1.4,0.5,0.1
Cyber Security,mcq,Which ensures non-repudiation?,Digital Signature,Encryption,Hashing,Firewall,A,medium,1.4,0.5,0.1
Cyber Security,mcq,Which tool scans for vulnerabilities?,Nmap,Git,Docker,Kubernetes,A,medium,1.3,0.4,0.1
Cyber Security,mcq,Which prevents XSS attacks?,Input validation,Encryption,Hashing,Firewall,A,medium,1.4,0.5,0.1
Cyber Security,situational,User tricked via email?,Phishing,DDoS,SQL Injection,XSS,A,easy,1.1,-1.0,0.2
Cyber Security,situational,Attacker targets database?,SQL Injection,XSS,DDoS,Phishing,A,medium,1.4,0.5,0.1
Cyber Security,situational,Secure data in transit?,Encryption,Hashing,Firewall,VPN,A,easy,1.1,-1.0,0.2
Cyber Security,situational,Store passwords securely?,Hashing,Plain text,Encryption,Delete,A,medium,1.4,0.6,0.1
Cyber Security,situational,Defend network perimeter?,Firewall,Cache,Proxy,CDN,A,easy,1.1,-1.0,0.2
Cyber Security,situational,Attacker intercepts messages?,MITM,DDoS,XSS,SQL Injection,A,medium,1.4,0.5,0.1
Cyber Security,situational,Prevent XSS on web app?,Input validation,Encryption,Hashing,Firewall,A,medium,1.4,0.5,0.1
Cyber Security,situational,Need secure remote access?,VPN,Firewall,Proxy,Cache,A,medium,1.3,0.4,0.1
Cyber Security,situational,Ensure data integrity?,Hashing,Encryption,Firewall,VPN,A,medium,1.3,0.4,0.1
Cyber Security,situational,Detect system vulnerabilities?,Nmap,Git,Docker,Jenkins,A,medium,1.3,0.4,0.1
Data Analytics,mcq,What is data cleaning?,Remove errors and inconsistencies,Add synthetic data,Delete entire database,Encrypt data,A,easy,1.0,-1.1,0.2
Data Analytics,mcq,Mean is?,Average of values,Median,Mode,Range,A,easy,1.1,-1.0,0.2
Data Analytics,mcq,Which measures data spread?,Variance,Mean,Median,Mode,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which is a data visualization tool?,Tableau,Python,C++,Java,A,easy,1.1,-1.0,0.2
Data Analytics,mcq,Which detects patterns in data?,Clustering,Sorting,Searching,Hashing,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which handles missing data?,Imputation,Deletion,Ignoring,Stopping,A,medium,1.4,0.5,0.1
Data Analytics,mcq,Which is categorical data?,Gender,Height,Weight,Age,A,easy,1.1,-1.0,0.2
Data Analytics,mcq,Which is numerical data?,Age,Gender,Color,Type,A,easy,1.1,-1.0,0.2
Data Analytics,mcq,Which is an outlier?,Extreme value,Mean,Median,Mode,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which tool uses SQL queries?,RDBMS,Excel,Python,Tableau,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which chart shows distribution?,Histogram,Bar chart,Pie chart,Line chart,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which analytics is predictive?,Regression,Sorting,Cleaning,Storage,A,medium,1.4,0.5,0.1
Data Analytics,mcq,Which analytics is descriptive?,Summary statistics,Prediction,Clustering,Regression,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which Python library is used for data analysis?,Pandas,HTML,SQL,Java,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which handles big data processing?,Hadoop,Excel,Word,PowerPoint,A,medium,1.4,0.5,0.1
Data Analytics,mcq,Which chart shows correlation?,Scatter plot,Bar chart,Pie chart,Line chart,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which is a data pipeline process?,ETL,SQL query,CSV file,JSON format,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which is feature engineering?,Transform and create features,Delete features,Ignore features,Store raw data,A,medium,1.4,0.5,0.1
Data Analytics,mcq,Which is a Business Intelligence tool?,Power BI,Python,SQL,Java,A,medium,1.3,0.4,0.1
Data Analytics,mcq,Which is time series data?,Sequential time-ordered data,Random data,Categorical data,Nominal data,A,medium,1.3,0.4,0.1
Data Analytics,situational,Handle missing values?,Impute missing data,Delete all rows,Ignore them,Stop analysis,A,medium,1.4,0.5,0.1
Data Analytics,situational,Find hidden patterns?,Clustering,Regression,Sorting,Searching,A,medium,1.3,0.4,0.1
Data Analytics,situational,Visualize data distribution?,Histogram,Bar chart,Pie chart,Line chart,A,medium,1.3,0.4,0.1
Data Analytics,situational,Detect data outliers?,Identify extreme values,Use mean,Use median,Use mode,A,medium,1.3,0.4,0.1
Data Analytics,situational,Predict future value?,Regression,Clustering,Sorting,Searching,A,medium,1.4,0.5,0.1
Data Analytics,situational,Summarize large dataset?,Descriptive statistics,Clustering,Prediction,Cleaning,A,medium,1.3,0.4,0.1
Data Analytics,situational,Process big data?,Hadoop,Excel,Word,PowerPoint,A,medium,1.4,0.5,0.1
Data Analytics,situational,Visualize business insights?,Tableau,Python,SQL,Java,A,medium,1.3,0.4,0.1
Data Analytics,situational,Build data pipeline?,ETL process,SQL query,Excel sheet,Python script,A,medium,1.3,0.4,0.1
Data Analytics,situational,Find relationship between variables?,Scatter plot,Bar chart,Pie chart,Line chart,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which is LIFO?,Stack,Queue,Tree,Graph,A,easy,1.0,-1.2,0.2
Data Structures,mcq,Which is FIFO?,Queue,Stack,Tree,Graph,A,easy,1.0,-1.2,0.2
Data Structures,mcq,Which is hierarchical?,Tree,Stack,Queue,Array,A,easy,1.1,-1.0,0.2
Data Structures,mcq,Which uses hashing?,Hash Table,Stack,Queue,Tree,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which is linear?,Array,Tree,Graph,Heap,A,easy,1.1,-1.0,0.2
Data Structures,mcq,Which supports priority?,Heap,Stack,Queue,Array,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which traversal uses a Queue?,BFS,DFS,Inorder,Postorder,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which traversal uses a Stack?,DFS,BFS,Level order,Inorder,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which is dynamic in size?,Linked List,Array,Stack,Queue,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which has O(1) random access?,Array,Linked List,Tree,Graph,A,easy,1.1,-1.0,0.2
Data Structures,mcq,Which is a balanced tree?,AVL Tree,Stack,Queue,Array,A,medium,1.4,0.5,0.1
Data Structures,mcq,Which technique avoids hash collisions?,Chaining,Sorting,Indexing,Compression,A,medium,1.4,0.5,0.1
Data Structures,mcq,Which data structure supports recursion best?,Stack,Queue,Heap,Array,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which uses nodes and pointers?,Linked List,Array,Stack,Heap,A,easy,1.1,-1.0,0.2
Data Structures,mcq,Which represents a graph?,Vertices and edges,Array elements,Stack frames,Queue items,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which stores key-value pairs?,Map,Stack,Array,Queue,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which is non-linear?,Tree,Array,Stack,Queue,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which satisfies the heap property?,Heap,Stack,Queue,Array,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which structure uses pointers between nodes?,Linked List,Array,Stack,Heap,A,medium,1.3,0.4,0.1
Data Structures,mcq,Which structure can be cyclic?,Graph,Array,Tree,Stack,A,medium,1.3,0.4,0.1
Data Structures,situational,Need LIFO ordering?,Stack,Queue,Heap,Array,A,easy,1.1,-1.0,0.2
Data Structures,situational,Need FIFO ordering?,Queue,Stack,Heap,Array,A,easy,1.1,-1.0,0.2
Data Structures,situational,Need fast key lookup?,Hash Table,Array,Stack,Queue,A,medium,1.3,0.4,0.1
Data Structures,situational,Need dynamic resizing?,Linked List,Array,Stack,Queue,A,medium,1.3,0.4,0.1
Data Structures,situational,Manage priority tasks?,Heap,Stack,Queue,Array,A,medium,1.3,0.4,0.1
Data Structures,situational,Track recursive function calls?,Stack,Queue,Heap,Array,A,medium,1.3,0.4,0.1
Data Structures,situational,Store hierarchical data?,Tree,Stack,Queue,Array,A,medium,1.3,0.4,0.1
Data Structures,situational,Model relationships in graph?,Vertices and edges,Array elements,Stack frames,Queue items,A,medium,1.3,0.4,0.1
Data Structures,situational,Traversal using BFS?,Queue,Stack,Heap,Array,A,medium,1.3,0.4,0.1
Data Structures,situational,Traversal using DFS?,Stack,Queue,Heap,Array,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,What does ACID stand for?,Atomicity Consistency Isolation Durability,Accuracy Consistency Isolation Durability,Atomicity Control Isolation Durability,Atomicity Consistency Integration Durability,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,Which normal form removes partial dependency?,1NF,2NF,3NF,BCNF,B,medium,1.4,0.5,0.1
Database Management Systems,mcq,Which command retrieves data?,INSERT,UPDATE,SELECT,DELETE,C,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Primary key is?,Unique row identifier,Duplicate field,Optional field,Foreign field,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Foreign key ensures?,Referential integrity,Query speed,Storage size,Data security,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,Which join returns all rows from both tables?,INNER JOIN,LEFT OUTER JOIN,RIGHT OUTER JOIN,FULL OUTER JOIN,D,medium,1.4,0.5,0.1
Database Management Systems,mcq,Which is a NoSQL database?,MongoDB,MySQL,PostgreSQL,Oracle,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Which index improves?,Search speed,Storage space,Deletion speed,Backup size,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,Which isolation level prevents dirty reads?,Read Uncommitted,Read Committed,Repeatable Read,Serializable,B,medium,1.4,0.5,0.1
Database Management Systems,mcq,Which language defines schema?,DDL,DML,DCL,TCL,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Which removes duplicate rows?,DISTINCT,GROUP BY,ORDER BY,WHERE,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Which clause filters rows?,WHERE,HAVING,ORDER BY,GROUP BY,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Which supports ACID transactions?,RDBMS,NoSQL,File system,In-memory DB,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,Which is a schema design tool?,ER Model,HTML,CSS,JSON,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,Which ensures data consistency?,Constraints,Indexes,Joins,Views,A,medium,1.3,0.4,0.1
Database Management Systems,mcq,Which command modifies existing data?,UPDATE,SELECT,CREATE,DROP,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,Which ensures transaction durability?,Transaction logs,Cache,Indexes,Views,A,medium,1.4,0.5,0.1
Database Management Systems,mcq,Which is an aggregation function?,SUM,WHERE,JOIN,SELECT,A,easy,1.1,-1.0,0.2
Database Management Systems,mcq,What is normalization?,Reduce data redundancy,Increase data redundancy,Remove all tables,Add more columns,A,medium,1.3,0.4,0.1
