question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
366,9,Algorithms,47,"Algorithms - Binary Search",47,"Sorted Search Optimization","1|2|4|7",easy,Subjective,"Why does binary search usually perform fewer checks than linear search on large sorted lists?","","","","",,"Binary search performs fewer checks because it repeatedly halves the remaining search space instead of scanning items one by one.","The answer should mention halving vs sequential checking.","binary search efficiency|halving search space|comparison","analytical reasoning|clarity","rubric","algorithms|binary-search|easy|subjective"
367,10,Database Management Systems,52,"DBMS - SELECT Queries",52,"Filtering and Sorting Data","2|4|5|12|14",easy,Subjective,"What is the role of the ORDER BY clause in SQL?","","","","",,"ORDER BY is used to sort query results based on one or more columns in ascending or descending order.","The answer should mention sorting result rows.","ORDER BY|sorting query results|SQL basics","precision|query understanding","rubric","dbms|order-by|easy|subjective"
368,11,Operating Systems,57,"OS - CPU Scheduling",57,"Scheduling Algorithm Comparison","1|2|9|10|15",easy,Situational,"A student thinks scheduling is just about speed. What broader factors should the app introduce?","","","","",,"The app should introduce fairness, waiting time, response time, throughput, and starvation risk, showing that scheduling is about multiple tradeoffs rather than speed alone.","The response should mention multiple scheduling goals.","scheduling tradeoffs|fairness|response time|starvation","tradeoff reasoning|concept broadening","rubric","operating-systems|scheduling|situational|easy"
369,12,Computer Networks,62,"Networks - TCP and UDP",62,"Reliability and Speed Comparison","2|9|10|11|15",easy,Subjective,"In simple terms, why is TCP considered reliable?","","","","",,"TCP is considered reliable because it establishes a connection, tracks delivery, and helps ensure data arrives correctly and in order.","The answer should mention ordered and reliable delivery.","TCP reliability|ordered delivery|connection-oriented transport","clarity|concept recall","rubric","computer-networks|tcp|easy|subjective"
370,13,Software Engineering,68,"Software Engineering - Testing Fundamentals",68,"Test Levels and Types","1|3|4|8",easy,Situational,"A user reports a bug that developers never saw during coding. What software engineering lesson should be reinforced?","","","","",,"The lesson is that testing and real usage can reveal issues that coding alone does not expose, so validation across different scenarios is essential.","The response should connect real-world bugs to the need for systematic testing.","testing importance|real-world validation|bug discovery","quality mindset|learning from feedback","rubric","software-engineering|testing|situational|easy"
371,14,Web Development,73,"Web Development - JavaScript Basics",73,"DOM Interaction and Events","3|4|8",easy,Subjective,"What does it mean to update the DOM?","","","","",,"Updating the DOM means changing the content, structure, or attributes of elements on a webpage through script or browser logic.","The answer should mention changing webpage elements dynamically.","DOM update|dynamic webpage changes|browser scripting","clarity|web reasoning","rubric","web-development|dom|easy|subjective"
372,15,Cloud Computing,74,"Cloud Computing - Virtualization Basics",74,"VM and Resource Abstraction","2|4|9|10",medium,Subjective,"Why does virtualization make cloud infrastructure more flexible?","","","","",,"Virtualization makes cloud infrastructure more flexible because physical resources can be divided into isolated virtual environments that are easier to allocate, scale, and manage independently.","The answer should mention abstraction, isolation, and flexible resource management.","virtualization flexibility|resource abstraction|isolation","system thinking|clarity","rubric","cloud-computing|virtualization|medium|subjective"
373,16,Cyber Security,83,"Cyber Security - Data Protection",83,"Encryption and Data Safety Basics","9|10|11",easy,Situational,"A platform sends user assessment results over the network. Why should the app mention encryption even if login is already secure?","","","","",,"The app should mention encryption because securing login alone is not enough; sensitive data should also be protected while being transmitted so intercepted information cannot be easily read.","The response should distinguish authentication from data protection in transit.","secure transmission|encryption in transit|assessment data protection","security reasoning|practical awareness","rubric","cyber-security|encryption|situational|easy"
374,17,Machine Learning,85,"Machine Learning - Unsupervised Learning",85,"Pattern Discovery Basics","5|6|7|16",easy,Subjective,"What kind of question is unsupervised learning useful for answering?","","","","",,"Unsupervised learning is useful for questions about hidden patterns, natural groupings, or structure in data when no labels are already given.","The answer should mention discovery without predefined target labels.","unsupervised questions|hidden patterns|grouping","clarity|problem framing","rubric","machine-learning|unsupervised|easy|subjective"
375,18,Artificial Intelligence,91,"Artificial Intelligence - Planning and Decision Making",91,"Goal-Based Action Sequencing","6|16",easy,Situational,"A learner reaches the correct final answer but cannot justify the sequence of decisions. Why is planning-oriented evaluation still valuable?","","","","",,"Planning-oriented evaluation is valuable because it reveals whether the learner can explain the reasoning path and decision sequence, not just the final outcome.","The response should connect planning to explainable thinking.","reasoning path|decision sequence|strategic evaluation","evaluation judgment|structured reasoning","rubric","artificial-intelligence|planning|situational|easy"
376,19,Data Analytics,94,"Data Analytics - Interpretation and Insights",94,"Trend and Pattern Reading","5|13|14",easy,MCQ,"Which of the following best describes an insight?",A raw unprocessed row of data,A meaningful conclusion drawn from data,A random number,A chart color choice,B,"An insight is a meaningful conclusion drawn from data.","Insights are interpretations that support decisions.","insight|interpretation|analytics meaning","business reasoning|accuracy","exact_match","data-analytics|insights|easy|mcq"
377,20,DevOps,96,"DevOps - CI CD Foundations",96,"Build Test Deploy Pipeline Basics","2|4|9|10",medium,Subjective,"Why does continuous integration help teams catch problems earlier?","","","","",,"Continuous integration helps teams catch problems earlier because code changes are merged and tested frequently, so conflicts and defects are detected before they grow into bigger issues.","The answer should mention frequent integration and early detection.","continuous integration|early feedback|integration issues","process thinking|quality awareness","rubric","devops|ci|medium|subjective"
378,6,Programming Fundamentals,31,"Programming - Variables and Data Types",31,"Primitive Types and Variable Usage","1|2|4|7",easy,Situational,"A learner stores marks like 89.5 in an integer variable and gets incorrect output. What concept should the app correct first?","","","","",,"The app should correct the choice of data type, explaining that decimal values require a floating-point type rather than an integer type.","The response should connect value form to correct data type selection.","data type mismatch|integer vs float|value representation","diagnostic thinking|precision","rubric","programming|variables|situational|easy"
379,7,Object-Oriented Programming,38,"OOP - Inheritance",38,"Base and Derived Class Design","1|2|4|12",easy,Subjective,"What is the main idea of inheritance in one line?","","","","",,"Inheritance allows a new class to reuse and extend properties or behavior from an existing class.","The answer should mention reuse and extension.","inheritance|reuse|extension","clarity|concept recall","rubric","oop|inheritance|easy|subjective"
380,8,Data Structures,42,"Data Structures - Linked Lists",42,"Singly Linked List Operations","1|2|4|7",medium,Situational,"A learner understands arrays but struggles with pointer-based structures. What comparison should the app use to introduce linked lists?","","","","",,"The app should compare arrays as contiguous indexed storage and linked lists as nodes connected by references, emphasizing flexibility in insertion and the tradeoff of slower direct access.","The response should use contrast to build understanding.","array vs linked list|pointer structure|tradeoff teaching","instructional design|comparison thinking","rubric","data-structures|linked-list|situational|medium"
381,9,Algorithms,50,"Algorithms - Greedy Strategy",50,"Greedy Decision Application","1|2|4|7",easy,Situational,"A student asks why greedy methods are not always correct for every problem. What should the app say?","","","","",,"The app should say that greedy methods make local best choices, but local choices do not always guarantee the best global solution unless the problem has the right structure.","The response should connect local choice to possible global failure.","greedy limitation|local vs global optimum|algorithm validity","critical thinking|concept accuracy","rubric","algorithms|greedy|situational|easy"
382,10,Database Management Systems,55,"DBMS - Transactions and ACID",55,"Consistency and Isolation Concepts","2|4|12",easy,Situational,"A learner updates two related records separately and worries about inconsistency if one update fails. Which DBMS idea should the app introduce?","","","","",,"The app should introduce transactions and atomicity, because related changes should be handled as one complete unit so partial updates do not leave the data inconsistent.","The response should connect multi-step updates to transaction safety.","transactions|atomicity|consistency protection","system reasoning|reliability awareness","rubric","dbms|transactions|situational|easy"
383,11,Operating Systems,60,"OS - File Systems",60,"File and Directory Management","1|2|9|10",medium,MCQ,"Which OS concept is most directly responsible for organizing files into folders and paths?",CPU scheduling,File system,Deadlock handling,Thread synchronization,B,"The file system organizes files into folders and paths.","It provides the structure for storage and retrieval.","file system|folders|paths","organization|accuracy","exact_match","operating-systems|file-system|medium|mcq"
384,12,Computer Networks,64,"Networks - Routing and Switching",64,"Packet Path and Switching Logic","9|10|11|15",easy,Situational,"A learner confuses a router with a switch. What simple explanation should the app use first?","","","","",,"The app should explain that a switch mainly forwards data within a local network, while a router connects different networks and decides where packets should go next.","The response should emphasize local vs inter-network roles.","router vs switch|local network|between networks","clarity|concept differentiation","rubric","computer-networks|routing-switching|situational|easy"
385,13,Software Engineering,66,"Software Engineering - SDLC",66,"Development Lifecycle Phases","1|3|4|8|13",medium,Subjective,"Why can skipping the requirements phase create expensive problems later?","","","","",,"Skipping the requirements phase can create expensive problems because teams may build the wrong features, misunderstand goals, and require significant rework after development has already progressed.","The answer should mention misalignment and rework cost.","requirements omission|rework cost|project misalignment","planning awareness|cause-effect reasoning","rubric","software-engineering|requirements|medium|subjective"
386,14,Web Development,71,"Web Development - HTML Structure",71,"Page Layout with HTML Elements","3|4|8",medium,Situational,"A candidate makes visually attractive pages but uses poor semantic structure. Why is that still a professional concern?","","","","",,"It is a professional concern because real-world frontend work also depends on accessibility, maintainability, search friendliness, and clear structure, not just appearance.","The response should connect semantics to professional quality standards.","semantic quality|frontend professionalism|beyond visuals","evaluation
