subject,type,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,irt_a,irt_b,irt_c
Data Analytics,mcq,What is the primary goal of Data Analytics?,To predict future trends,To print documents,To delete old files,To browse the web,A,easy,1.0,-1.3,0.2
Data Analytics,mcq,Which tool is commonly used for data visualization?,Tableau,Notepad,Calculator,Paint,A,easy,1.1,-1.4,0.2
Data Analytics,mcq,What is "Big Data"?,Files larger than 1MB,Extremely large datasets,A new font,A large computer screen,B,easy,1.0,-1.5,0.2
Data Analytics,mcq,What does SQL stand for?,Simple Query Language,Structured Query Language,Standard Query Language,System Query Language,B,easy,1.1,-1.2,0.2
Data Analytics,mcq,Which of these is a measure of central tendency?,Range,Mean,Variance,Standard Deviation,B,medium,1.2,0.3,0.1
Data Analytics,mcq,What is an "Outlier"?,A data point far from others,The largest file,A software used for data,A person who collects data,A,medium,1.3,0.4,0.1
Data Analytics,mcq,What is a "Pivot Table" used for?,Summarizing data,Drawing pictures,Playing music,Sending messages,A,medium,1.4,0.5,0.1
Data Analytics,mcq,What is Data Cleaning?,Fixing or removing incorrect data,Wiping the monitor,Deleting the hard drive,Organizing cables,A,easy,1.1,-1.3,0.2
Data Analytics,mcq,A retail chain wants to understand why sales dropped in one region. Which type of analytics is needed?,Descriptive,Diagnostic,Predictive,Prescriptive,B,hard,1.6,1.2,0.05
Data Structures,mcq,Which data structure uses LIFO?,Queue,Stack,Array,Linked List,B,easy,1.1,-1.5,0.2
Data Structures,mcq,What is the index of first element in most arrays?,1,0,-1,A,B,easy,1.0,-1.6,0.25
Data Structures,mcq,Which data structure allows elements to be added/removed from both ends?,Stack,Queue,Deque,Priority Queue,C,medium,1.3,0.4,0.1
Data Structures,mcq,What is a "Leaf Node" in a tree?,A node with no children,The root node,A node with one child,The middle node,A,medium,1.2,0.2,0.15
Data Structures,mcq,Which data structure is best for implementing a undo feature?,Queue,Stack,Tree,Graph,B,easy,1.1,-1.4,0.2
Data Structures,mcq,In a binary search tree, where are smaller elements stored?,Left subtree,Right subtree,Both sides,Middle,A,medium,1.3,0.5,0.1
Data Structures,mcq,Which data structure uses pointers to connect elements?,Array,Linked List,Heap,Stack,B,easy,1.1,-1.2,0.2
Data Structures,mcq,What is the time complexity to access an element in an array?,O(1),O(n),O(log n),O(n log n),A,medium,1.4,0.6,0.1
Data Structures,mcq,A navigation app needs to represent roads and intersections. Which data structure is best?,Stack,Tree,Graph,Queue,C,hard,1.6,1.1,0.05
DBMS,mcq,What does DBMS stand for?,Data Base Management System,Double Base Management System,Digital Base Management System,Direct Base Management System,A,easy,1.0,-1.6,0.2
DBMS,mcq,Which of these is a RDBMS?,MySQL,Excel,Notepad,VLC,A,easy,1.1,-1.4,0.2
DBMS,mcq,What is a "Primary Key"?,A key to open the server,A unique identifier for a record,A password for the database,The most important table,B,easy,1.1,-1.3,0.2
DBMS,mcq,What does SQL stand for?,Simple Query Language,Structured Query Language,Standard Query Language,System Query Language,B,easy,1.0,-1.5,0.2
DBMS,mcq,What is a "Foreign Key"?,A key from another country,A link between two tables,A secondary password,A backup file,B,medium,1.3,0.4,0.1
DBMS,mcq,What is Database Normalization?,Organizing data to reduce redundancy,Wiping the database,Backing up data,Increasing database size,A,medium,1.4,0.6,0.1
DBMS,mcq,Which command is used to add new data?,SELECT,INSERT,UPDATE,DELETE,B,easy,1.1,-1.2,0.2
DBMS,mcq,What is an "Index" in a database?,A list of all tables,A structure that speeds up retrieval,A table header,A sequence number,B,medium,1.3,0.5,0.1
DBMS,mcq,A banking system must ensure that transactions are processed entirely or not at all. Which property ensures this?,Atomicity,Consistency,Isolation,Durability,A,hard,1.6,1.4,0.05
DevOps,mcq,What does DevOps stand for?,Development and Operations,Development and Output,Delivery and Optimization,Device and Operations,A,easy,1.0,-1.5,0.2
DevOps,mcq,Which of these is a common DevOps tool?,Docker,Photoshop,Excel,Spotify,A,easy,1.1,-1.4,0.2
DevOps,mcq,What is CI in CI/CD?,Continuous Integration,Continuous Insight,Core Integration,Complex Integration,A,easy,1.1,-1.2,0.2
DevOps,mcq,What is CD in CI/CD?,Continuous Delivery,Continuous Data,Core Design,Complex Delivery,A,easy,1.1,-1.2,0.2
DevOps,mcq,What is the main goal of DevOps?,Slower releases,Faster and more reliable software delivery,Replacing developers,Cutting costs by using less tools,B,easy,1.1,-1.4,0.2
DevOps,mcq,What is "Infrastructure as Code"?,Writing code in a data center,Managing infrastructure using configuration files,Fixing hardware with software,Building servers manually,B,medium,1.4,0.5,0.1
DevOps,mcq,Which tool is mostly used for containerization?,Jenkins,Docker,Kubernetes,Git,B,medium,1.3,0.4,0.1
DevOps,mcq,What is a "Pipeline" in DevOps?,A set of automated processes,A physical pipe for data,A flowchart,A type of programming language,A,medium,1.3,0.3,0.15
DevOps,mcq,A team wants to deploy small updates multiple times a day. Which practice is most essential?,Waterfall,CI/CD,Manual Testing,On-site storage,B,hard,1.7,1.5,0.05
English,mcq,Which word is a noun?,Run,Happiness,Quickly,Into,B,easy,0.9,-1.8,0.25
English,mcq,What is a synonym for "Quick"?,Slow,Fast,Large,Heavy,B,easy,0.8,-2.0,0.3
English,mcq,Which sentence is grammatically correct?,She go to school.,She goes to school.,She going to school.,She gone to school.,B,easy,1.0,-1.5,0.2
English,mcq,What is the plural of "Child"?,Childs,Children,Childrens,Childes,B,easy,0.9,-1.7,0.2
English,mcq,Which of these is a conjunction?,And,House,Happy,Run,A,easy,1.0,-1.6,0.25
English,mcq,What is the antonym of "Begin"?,Start,End,Open,Late,B,easy,0.8,-1.9,0.3
English,mcq,Which word is spelled correctly?,Definitly,Definitely,Definitly,Definatly,B,medium,1.3,0.5,0.1
English,mcq,"The sun was smiling down at us." What figure of speech is this?,Metaphor,Personification,Simile,Hyperbole,B,medium,1.4,0.6,0.1
English,mcq,Choose the best word: He was so ___ that he finished the task in minutes.,Diligent,Efficient,Lazy,Careless,B,medium,1.3,0.4,0.1
Machine Learning,mcq,What is the main goal of Machine Learning?,To build faster computers,To allow computers to learn from data,To create better graphics,To browse the internet,B,easy,1.0,-1.6,0.2
Machine Learning,mcq,Which of these is a type of Machine Learning?,Supervised Learning,Quick Learning,Hard Learning,Deep Learning,A,easy,1.1,-1.4,0.2
Machine Learning,mcq,What is a "Training Set"?,A set of exercises for machines,Data used to train a model,A list of models,A computer lab,B,easy,1.1,-1.3,0.2
Machine Learning,mcq,What is "Overfitting"?,Model performs well on training data but poorly on new data,Model is too large for the computer,Data is too much for the model,Model is very fast,A,medium,1.4,0.7,0.1
Machine Learning,mcq,Which of these is a common ML algorithm?,Linear Regression,Calculus,Algebra,Binary Search,A,medium,1.3,0.4,0.1
Machine Learning,mcq,What is "Deep Learning" based on?,Neural Networks,Decision Trees,Linear Algebra,SQL,A,medium,1.4,0.6,0.1
Machine Learning,mcq,What is the purpose of a "Validation Set"?,To tune model parameters,To train the model,To save the model,To delete old data,A,medium,1.5,0.8,0.1
Machine Learning,mcq,What is "Unsupervised Learning"?,Learning with labeled data,Learning with unlabeled data,Learning without computers,Learning very fast,B,easy,1.1,-1.2,0.2
Machine Learning,mcq,A movie streaming service wants to recommend films based on user history. What type of ML is this?,Classification,Clustering,Regression,Recommendation System,D,hard,1.6,1.3,0.05
Mathematics,mcq,What is 15% of 200?,20,30,40,50,B,easy,1.0,-1.4,0.2
Mathematics,mcq,What is the square root of 64?,6,7,8,9,C,easy,0.9,-1.6,0.25
Mathematics,mcq,What is the value of Pi (to 2 decimal places)?,3.12,3.14,3.16,3.18,B,easy,1.0,-1.5,0.2
Mathematics,mcq,Simplify: 2x + 3x - 5x,0,x,5x,10x,A,easy,1.1,-1.3,0.2
Mathematics,mcq,What is the area of a circle with radius 7?,49 Pi,14 Pi,7 Pi,21 Pi,A,medium,1.3,0.4,0.1
Mathematics,mcq,Solve: 2x + 10 = 20,5,10,15,20,A,easy,1.1,-1.2,0.2
Mathematics,mcq,What is the sum of angles in a triangle?,90,180,270,360,B,easy,1.0,-1.5,0.2
Mathematics,mcq,What is the derivative of x^2?,x,2x,2,0,B,medium,1.4,0.7,0.1
Mathematics,mcq,A farmer has a rectangular field 100m by 50m. He wants to fence it. How many meters of fencing does he need?,150,300,500,5000,B,medium,1.3,0.5,0.1
OOP,mcq,What does OOP stand for?,Object Oriented Programming,Original Output Programming,Open Object Programming,Ordered Object Programming,A,easy,1.0,-1.6,0.2
OOP,mcq,Which of these is a core principle of OOP?,Recursion,Encapsulation,Iteration,Compilation,B,medium,1.2,0.3,0.1
OOP,mcq,What is a "Class" in OOP?,A group of students,A blueprint for creating objects,A type of laptop,A software update,B,easy,1.1,-1.4,0.2
OOP,mcq,What is "Inheritance"?,Deleting code,A child class taking properties from parent class,Copying files,Sharing a password,B,medium,1.3,0.4,0.1
OOP,mcq,What is "Polymorphism"?,The ability of one thing to take many forms,A type of virus,Multi-threading,Network security,A,medium,1.4,0.6,0.1
OOP,mcq,What is a "Constructor"?,A person who builds servers,A method called when an object is created,A type of hardware,A backup system,B,medium,1.3,0.5,0.1
OOP,mcq,Which of these is an OOP language?,Java,C,Assembly,HTML,A,easy,1.1,-1.2,0.2
OOP,mcq,What is an "Object"?,A variable,An instance of a class,A file,A monitor,B,easy,1.0,-1.5,0.2
OOP,mcq,A car rental system needs to represent different car types. Which OOP concept is most useful for shared features?,Enscapsulation,Inheritance,Recursion,Multi-threading,B,hard,1.6,1.2,0.05
